Algoritmo;TipoEntrada;Tamanho;TempoSegundos;MemoriaKB;ComplexidadeTeorica;Sucesso
TimSort;muitas_duplicatas;100;1.5500000699830707e-05;0.8515625;O(n log n);True
HeapSort;ordenada;500;0.004000300000370771;0.44140625;O(n log n);True
QuickSort;ordenada;500;0.0015413000000989996;12.34375;O(n log n) médio, O(n²) pior;True
MergeSort;ordenada;500;0.001688800000010815;9.796875;O(n log n);True
BubbleSort;ordenada;500;0.04694569999992382;0.23046875;O(n²);True
SelectionSort;ordenada;500;0.04881810000006226;0.23046875;O(n²);True
InsertionSort;ordenada;500;0.000403099999857659;0.13671875;O(n²);True
TimSort;ordenada;500;9.800000043469481e-06;3.9765625;O(n log n);True
HeapSort;reversa;500;0.0019215000002077431;0.44140625;O(n log n);True
QuickSort;reversa;500;0.0015358000000560423;12.3671875;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;500;0.0016923000002861954;9.796875;O(n log n);True
BubbleSort;reversa;500;0.08432689999972354;0.23046875;O(n²);True
SelectionSort;reversa;500;0.04758320000019012;0.23046875;O(n²);True
InsertionSort;reversa;500;0.04797429999962333;0.13671875;O(n²);True
TimSort;reversa;500;1.1399999493733048e-05;3.9765625;O(n log n);True
HeapSort;aleatoria;500;0.002413700000033714;0.44140625;O(n log n);True
QuickSort;aleatoria;500;0.0022451000004366506;20.1015625;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;500;0.0019447000004220172;8.2578125;O(n log n);True
BubbleSort;aleatoria;500;0.08680829999957496;0.23046875;O(n²);True
SelectionSort;aleatoria;500;0.044229299999642535;0.23046875;O(n²);True
InsertionSort;aleatoria;500;0.035038899999563;0.13671875;O(n²);True
TimSort;aleatoria;500;4.9500000386615284e-05;3.9765625;O(n log n);True
HeapSort;parcialmente_ordenada;500;0.003358999999363732;0.44140625;O(n log n);True
QuickSort;parcialmente_ordenada;500;0.0018382999996902072;13.453125;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;500;0.0019748999993680627;8.3359375;O(n log n);True
BubbleSort;parcialmente_ordenada;500;0.04253510000035021;0.23046875;O(n²);True
SelectionSort;parcialmente_ordenada;500;0.05131639999945037;0.23046875;O(n²);True
InsertionSort;parcialmente_ordenada;500;0.009345600000415288;0.13671875;O(n²);True
TimSort;parcialmente_ordenada;500;3.1099999432626646e-05;3.9765625;O(n log n);True
HeapSort;muitas_duplicatas;500;0.0024909000003390247;0.44140625;O(n log n);True
QuickSort;muitas_duplicatas;500;0.0006673999996564817;16.265625;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;500;0.001791100000446022;8.2890625;O(n log n);True
BubbleSort;muitas_duplicatas;500;0.07687729999997828;0.23046875;O(n²);True
SelectionSort;muitas_duplicatas;500;0.0482904000000417;0.23046875;O(n²);True
InsertionSort;muitas_duplicatas;500;0.03499590000046737;0.13671875;O(n²);True
TimSort;muitas_duplicatas;500;4.689999968832126e-05;3.9765625;O(n log n);True
HeapSort;ordenada;1000;0.011292799999864656;0.50390625;O(n log n);True
QuickSort;ordenada;1000;0.0035823999996864586;24.40625;O(n log n) médio, O(n²) pior;True
MergeSort;ordenada;1000;0.004194699999970908;19.59375;O(n log n);True
BubbleSort;ordenada;1000;0.2777526999998372;0.26171875;O(n²);True
SelectionSort;ordenada;1000;0.24157090000062453;0.26171875;O(n²);True
InsertionSort;ordenada;1000;0.0012273000002096524;0.13671875;O(n²);True
TimSort;ordenada;1000;1.2900000001536682e-05;7.8828125;O(n log n);True
HeapSort;reversa;1000;0.006197300000167161;0.50390625;O(n log n);True
QuickSort;reversa;1000;0.0032608000001346227;24.4296875;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;1000;0.00520079999932932;19.59375;O(n log n);True
BubbleSort;reversa;1000;0.6094493999999031;0.26171875;O(n²);True
SelectionSort;reversa;1000;0.2206229000003077;0.26171875;O(n²);True
InsertionSort;reversa;1000;0.3283817999999883;0.13671875;O(n²);True
TimSort;reversa;1000;1.52000002344721e-05;7.8828125;O(n log n);True
HeapSort;aleatoria;1000;0.007389999999759311;0.50390625;O(n log n);True
QuickSort;aleatoria;1000;0.004606299999977637;47.203125;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;1000;0.005386300000282063;16.84375;O(n log n);True
BubbleSort;aleatoria;1000;0.5129346999992777;0.26171875;O(n²);True
SelectionSort;aleatoria;1000;0.22151120000035007;0.26171875;O(n²);True
InsertionSort;aleatoria;1000;0.2256020000004355;0.13671875;O(n²);True
TimSort;aleatoria;1000;9.929999941959977e-05;11.7578125;O(n log n);True
HeapSort;parcialmente_ordenada;1000;0.008561099999496946;0.50390625;O(n log n);True
QuickSort;parcialmente_ordenada;1000;0.004007400000773487;24.59375;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;1000;0.00809209999988525;16.9609375;O(n log n);True
BubbleSort;parcialmente_ordenada;1000;0.3382120999995095;0.26171875;O(n²);True
SelectionSort;parcialmente_ordenada;1000;0.2231736000003366;0.26171875;O(n²);True
InsertionSort;parcialmente_ordenada;1000;0.0656938000001901;0.13671875;O(n²);True
TimSort;parcialmente_ordenada;1000;8.04999999672873e-05;11.671875;O(n log n);True
HeapSort;muitas_duplicatas;1000;0.009077100000467908;0.50390625;O(n log n);True
QuickSort;muitas_duplicatas;1000;0.004339899999649788;30.8125;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;1000;0.00561440000001312;16.859375;O(n log n);True
BubbleSort;muitas_duplicatas;1000;0.5293375000001106;0.26171875;O(n²);True
SelectionSort;muitas_duplicatas;1000;0.22763639999993757;0.26171875;O(n²);True
InsertionSort;muitas_duplicatas;1000;0.22028150000005553;0.13671875;O(n²);True
TimSort;muitas_duplicatas;1000;9.039999986271141e-05;11.7109375;O(n log n);True
HeapSort;ordenada;5000;0.08080909999989672;0.69140625;O(n log n);True
QuickSort;ordenada;5000;0.022828000000117754;122.828125;O(n log n) médio, O(n²) pior;True
MergeSort;ordenada;5000;0.04753990000062913;97.71875;O(n log n);True
